Company Name 1,Revenue Cr 09,PAT Cr 09,MCAP 09,Company Name 2,Revenue Cr 10,PAT Cr 10,MCAP 10,Company Name 3,Revenue Cr 11,PAT Cr 11,MCAP 11,
Bharat Heavy Electricals Ltd.,27928.00,3115.17,110374.52,Bharat Heavy Electricals Ltd.,34703.28,4326.92,120237.65,Bharat Heavy Electricals Ltd.,43434.62,6053.36,79226.24,
Bharat Petroleum Corporation Ltd.,137992.90,633.76,20323.97,Bharat Petroleum Corporation Ltd.,126181.92,1632.36,27885.41,Bharat Petroleum Corporation Ltd.,155370.19,1634.96,23681.44,
Bharati Defence and Infrastructure Ltd.,1019.46,133.32,561.59,Bharati Defence and Infrastructure Ltd.,1352.45,138.87,640.43,Bharati Defence and Infrastructure Ltd.,1581.34,113.45,276.93,
Bharti Airtel Ltd.,37504.46,7858.95,159168.28,Bharti Airtel Ltd.,41951.93,9163.13,134881.68,Bharti Airtel Ltd.,59601.80,6046.70,143734.13,
Bilcare Ltd.,863.73,82.94,724.61,Bilcare Ltd.,1065.81,116.95,1430.90,Bilcare Ltd.,2328.81,149.46,724.62,
Biocon Ltd.,1673.22,93.12,4766.70,Biocon Ltd.,2404.84,293.25,6990.29,Biocon Ltd.,2813.66,367.52,6928.74,
Birla Corporation Ltd.,1866.83,323.59,2221.53,Birla Corporation Ltd.,2295.43,557.31,2990.17,Birla Corporation Ltd.,2264.35,320.21,2472.99,
Blue Star Ltd.,2574.03,180.29,3150.23,Blue Star Ltd.,2570.07,211.49,4225.49,Blue Star Ltd.,2892.91,155.00,1946.26,
Bombay Rayon Fashions Ltd.,1521.01,136.67,1866.20,Bombay Rayon Fashions Ltd.,1821.07,161.59,2910.12,Bombay Rayon Fashions Ltd.,2720.96,202.82,3706.90,
Bosch Ltd.,4919.58,633.86,12871.44,Bosch Ltd.,5145.04,590.65,19533.40,Bosch Ltd.,7814.24,999.92,22051.04,
Britannia Industries Ltd.,3459.21,151.48,3841.62,Britannia Industries Ltd.,3833.78,103.18,5204.19,Britannia Industries Ltd.,4670.04,134.34,5413.85,
Cadila Healthcare Ltd.,2947.85,303.08,6706.93,Cadila Healthcare Ltd.,3702.76,505.14,12882.80,Cadila Healthcare Ltd.,4643.30,711.00,15470.21,
Cairn India Ltd.,1564.32,642.76,49677.58,Cairn India Ltd.,2030.69,1051.10,63399.90,Cairn India Ltd.,10406.72,6334.40,54515.54,
Canara Bank,19430.27,2072.42,12308.61,Canara Bank,21687.89,2999.70,23070.50,Canara Bank,25792.60,4034.19,19724.34,
Carborundum Universal Ltd.,1264.59,103.72,1333.17,Carborundum Universal Ltd.,1314.94,101.73,2103.50,Carborundum Universal Ltd.,1647.64,170.79,2869.31,
Castrol India Ltd.,2247.50,262.30,5970.51,Castrol India Ltd.,2354.30,381.10,12568.01,Castrol India Ltd.,2950.60,501.90,11697.84,
Central Bank of India,11540.97,635.85,4870.90,Central Bank of India,13799.55,1058.23,7761.32,Central Bank of India,16513.65,1161.37,6584.46,
Century Enka Ltd.,1181.31,16.62,318.51,Century Enka Ltd.,1240.92,100.16,537.15,Century Enka Ltd.,1357.09,79.36,323.59,
Century Plyboards (India) Ltd.,1042.68,57.20,1005.46,Century Plyboards (India) Ltd.,1192.06,146.18,1525.98,Century Plyboards (India) Ltd.,1437.51,154.58,1327.59,
Century Textiles & Industries Ltd.,3939.99,236.54,4454.13,Century Textiles & Industries Ltd.,4544.69,339.47,4736.14,Century Textiles & Industries Ltd.,4799.44,237.49,2840.34,
